Ticker,Name,AssetClass,Asset SubClass
EWS,iShares MSCI Singapore Index,Equity,Emerging Markets
ADRE,BLDRS Emerging Markets 50 ADR Index,Equity,Emerging Markets
GCE,Claymore CEF GS Connect ETN,Diversified,Close End Funds
HYG,iShares iBoxx $ High Yield Corporate Bd,Bond,High Yield
ILF,iShares S&P Latin America 40 Index,Equity,Emerging Markets
PEF,PowerShares FTSE RAFI Europe,Equity,Foreign
URR,Market Vectors Double Long Euro ETN,Leveraged,Currency
SCJ,iShares MSCI Japan Small Cap Index,Equity,Japan
DGG,WisdomTree International Communications,Equity,Global Sector
DFJ,WisdomTree Japan SmallCap Dividend,Equity,Japan
CSJ,iShares Barclays 1-3 Year Credit Bond,Bond,Short Term
CXA,SPDR Barclays Capital California Muni Bd,Bond,California Muni
BLV,Vanguard Long-Term Bond Index,Bond,Long Term
WMW,ELEMENTS Morningstar Wide Moat Focus ETN,Equity,US Large Cap
IDV,iShares Dow Jones Intl Select Div Idx,Equity,Foreign
CNY,Market Vectors Renminbi/USD ETN,Currency,Currency
CMF,iShares S&P California Municipal Bond,Bond,California Muni
RJZ,ELEMENTS Rogers Intl Commodity Metal ETN,Commodity,Metals
LSC,ELEMENTS S&P CTI ETN,Absolute,Managed Futures
FXF,CurrencyShares Swiss Franc Trust,Currency,Currency
PZA,PowerShares Insured National Muni Bond,Bond,National Muni
IGW,iShares S&P North Amer Tech-Semicondctrs,Equity,US Industry
LAG,SPDR Barclays Capital Aggregate Bond,Bond,Total
BIV,Vanguard Interm-Term Bond Index,Bond,Intermediate
JJS,iPath DJ AIG Softs TR Sub-Idx ETN,Commodity,Commodities
NLR,Market Vectors Nuclear Energy ETF,Equity,Theme
DWX,SPDR S&P International Dividend,Equity,Foreign
XPH,SPDR S&P Pharmaceuticals,Equity,US Industry
MUB,iShares S&P National Municipal Bond,Bond,Muni
DKA,WisdomTree International Energy,Equity,US Sector
TFI,SPDR Barclays Capital Municipal Bond,Bond,Muni
WIP,SPDR DB Intl Govt Infl-Protected Bond,Absolute,TIP
AGG,iShares Barclays Aggregate Bond,Bond,Total
NYF,iShares S&P New York Municipal Bond,Bond,Muni
GBF,iShares Barclays Government/Credit Bond,Bond,Total
BND,Vanguard Total Bond Market Index,Bond,Total
ITM,Market Vectors Intermediate Muni ETF,Bond,Muni
RFG,Rydex S&P Midcap 400 Pure Growth,Equity,US Mid Cap
IST,SPDR S&P International Telecom Sector,Equity,US Sector
IPW,SPDR S&P International Energy Sector,Equity,US Sector
MTK,SPDR Morgan Stanley Technology,Equity,US Sector
MBB,iShares Barclays MBS Bond,Bond,Total
PIZ,PowerShares DWA Dev Mkts Technical Ldrs,Equity,Foreign
GVI,iShares Barclays Interm Govt/Credit Bond,Bond,Intermediate
SMB,Market Vectors Short Municipal ETF,Inverse,Muni
FXH,First Trust Health Care AlphaDEX,Equity,US Industry
RWJ,RevenueShares Small Cap,Equity,US Small Cap
EES,WisdomTree SmallCap Earnings,Equity,US Small Cap
IGN,iShares S&P North Amer Tech-Multimd Ntwk,Equity,US Industry
XRT,SPDR S&P Retail,Equity,US Industry
DNL,WisdomTree World ex-US Growth,Equity,Foreign
PRFZ,PowerShares FTSE RAFI US 1500 Small-Mid,Equity,US Small Cap
ICN,WisdomTree Dreyfus Indian Rupee,Currency,Currency
PLK,PowerShares Active Low Duration,Bond,Short Term
IAH,Internet Architecture HOLDRs,Equity,US Industry
SCZ,iShares MSCI EAFE Small Cap Index,Equity,Foreign Small Cap
RTM,Rydex S&P Equal Weight Materials,Equity,US Sector
PWZ,PowerShares Insured California Muni Bond,Equity,Muni
IFAS,iShares FTSE EPRA/NAREIT Dev Asia Idx,Real Estate,Foreign
BSV,Vanguard Short-Term Bond Index,Bond,Short Term
IYW,iShares Dow Jones US Technology,Equity,US Industry
HHH,Internet HOLDRs,Equity,US Industry
IHE,iShares Dow Jones US Pharmaceuticals,Equity,US Industry
IRV,SPDR S&P International Materials Sector,Equity,Global Sector
ERO,iPath EUR/USD Exchange Rate ETN,Currency,Currency
EU,WisdomTree Dreyfus Euro,Currency,Currency
SHM,SPDR Barclays Capital Short Term Muni Bd,Bond,Short Term
RYT,Rydex S&P Equal Weight Technology,Equity,US Industry
CWI,SPDR MSCI ACWI (ex-US),Equity,Foreign
FXE,CurrencyShares Euro Trust,Currency,Currency
IPF,SPDR S&P International Financial Sector,Equity,Global Sector
UDN,PowerShares DB US Dollar Index Bearish,Inverse,Currency
GWX,SPDR S&P International Small Cap,Equity,Foreign Small Cap
VGT,Vanguard Information Technology ETF,Equity,US Industry
TDX,TDX Independence In-Target ETF,Diversified,Target
DIM,WisdomTree International MidCap Dividend,Equity,Foreign Small Cap
NFO,Claymore/Sabrient Insider,Equity,Theme
EFV,iShares MSCI EAFE Value Index,Equity,Foreign
FXL,First Trust Technology AlphaDEX,Equity,US Industry
IEI,iShares Barclays 3-7 Year Treasury Bond,Bond,Medium Term
BSC,ELEMENTS BG Small Cap ETN,Equity,US Small Cap
RWK,RevenueShares Mid Cap,Equity,US Small Cap
DBR,WisdomTree International Health Care,Equity,US Industry
ITE,SPDR Barclays Capital Interm Term Trs,Bond,Intermediate
IEF,iShares Barclays 7-10 Year Treasury,Bond,Intermediate
EEN,Claymore/BNY Mellon EW Euro-Pacific LDRs,Equity,Foreign
TLH,iShares Barclays 10-20 Year Treasury Bd,Bond,Long Term
IXN,iShares S&P Global Technology,Equity,Global Sector
MDD,SPDR S&P International Mid Cap,Equity,Foreign
PRF,PowerShares FTSE RAFI US 1000,Equity,US Large Cap
IGM,iShares S&P North Amer Technology,Equity,US Sector
IAI,iShares Dow Jones US Broker-Dealers,Equity,US Industry
CZA,Claymore/Zacks Mid-Cap Core,Equity,US Mid Cap
EWL,iShares MSCI Switzerland Index,Equity,Foreign
PLW,PowerShares 1-30 Laddered Treasury,Bond,Laddered
IPN,SPDR S&P International Industrial Sector,Equity,Foreign
DPN,WisdomTree International Cons Staples,Equity,Global Sector
VEU,Vanguard FTSE All-World ex-US ETF,Equity,Foreign
VPL,Vanguard Pacific Stock Index,Equity,Foreign
INR,Market Vectors Rupee/USD ETN,Currency,Currency
SHY,iShares Barclays 1-3 Year Treasury Bond,Bond,Short Term
IFSM,iShares FTSE Dev Sm Cap ex-North Amer,Equity,Foreign Small Cap
MLN,Market Vectors Long Municipal ETF,Bond,Muni
DDI,WisdomTree International Industrial,Equity,Global Sector
BDH,Broadband HOLDRs,Equity,US Industry
HGI,Claymore/Zacks Intl Multi-Asset Income,Diversified,Global Income
ADRA,BLDRS Asia 50 ADR Index,Equity,Foreign
TLO,SPDR Barclays Capital Long Term Treasury,Bond,Long Term
EZM,WisdomTree MidCap Earnings,Equity,US Mid Cap
PZT,PowerShares Insured New York Muni Bond,Bond,Muni
TDD,TDX Independence 2010 ETF,Diversified,Target
CYB,WisdomTree Dreyfus Chinese Yuan,Currency,Currency
GWL,SPDR S&P World ex-US,Equity,Foreign
CUT,Claymore/Beacon Global Timber Index,Equity,Global Sector
GUR,SPDR S&P Emerging Europe,Equity,Emerging Markets
BBH,Biotech HOLDRs,Equity,US Industry
QQEW,First Trust NASDAQ-100 Equal Weight Idx,Equity,US Mid Cap
PVI,PowerShares VRDO Tax-Free Weekly,Bond,Short Term
IXP,iShares S&P Global Telecommunications,Equity,Global Sector
ACWX,iShares MSCI ACWI ex US Index,Equity,Foreign
IPE,SPDR Barclays Capital TIPS,Absolute,TIP
IPK,SPDR S&P International Technology Sector,Equity,Global Sector
DXJ,WisdomTree Japan Total Dividend,Equity,Japan
TIP,iShares Barclays TIPS Bond,Absolute,TIP
EEZ,WisdomTree Earnings Top 100,Equity,US Large Cap
XGC,Claymore/BNY Mellon Intl Small Cap LDRs,Equity,Foreign Small Cap
KOL,Market Vectors Coal ETF,Commodity,Energy
EKH,Europe 2001 HOLDRs,Equity,Foreign
JEM,Barclays GEMS Index ETN,Equity,Foreign
PIO,PowerShares Global Water,Equity,Theme
TLT,iShares Barclays 20+ Year Treas Bond,Bond,Long Term
IPD,SPDR S&P International Cons Disc Sector,Equity,Global Sector
AYT,Barclays GEMS Asia-8 ETN,Equity,Emerging Markets
XLK,Technology Select Sector SPDR,Equity,US Sector
FEZ,SPDR DJ EURO STOXX 50,Equity,Foreign
PKN,PowerShares Global Nuclear Energy,Equity,Theme
FXC,CurrencyShares Canadian Dollar Trust,Currency,Currency
VEA,Vanguard Tax-Managed Intl,Equity,Foreign
DLS,WisdomTree International SmallCap Div,Equity,Foreign Small Cap
SHV,iShares Barclays Short Treasury Bond,Bond,Short Term
DBT,WisdomTree International Technology,Equity,Global Sector
USY,WisdomTree U.S. Short-Term Govt Income,Bond,Short Term
SMH,Semiconductor HOLDRs,Equity,US Industry
DFE,WisdomTree Europe SmallCap Dividend,Equity,Foreign Small Cap
PEJ,PowerShares Dynamic Leisure & Entertain,Equity,US Industry
QQQQ,PowerShares QQQ,Equity,US Large Cap
BJK,Market Vectors Gaming ETF,Equity,US Industry
FXS,CurrencyShares Swedish Krona Trust,Currency,Currency
EFA,iShares MSCI EAFE Index,Equity,Foreign
ULQ,Claymore U.S. Capital Mkts Micro-Trm F/I,Bond,Short Term
TDH,TDX Independence 2020 ETF,Diversified,Target
PMA,PowerShares Active Mega Cap,Equity,US Large Cap
RYJ,Claymore/Raymond James SB-1 Equity,Equity,US Large Cap
DTH,WisdomTree DEFA Equity Income,Equity,Foreign
BIL,SPDR Barclays Capital 1-3 Month T-Bill,Bond,Short Term
FXO,First Trust Financials AlphaDEX,Equity,US Industry
IFGL,iShares FTSE EPRA/NAREIT Dev RE ex-US,Real Estate,Foreign
PGD,Barclays Asian & Gulf Currency Reval ETN,Currency,Currency
EMG,SPDR Dow Jones Mid Cap Growth,Equity,US Mid Cap
PMR,PowerShares Dynamic Retail,Equity,US Industry
RSX,Market Vectors Russia ETF,Equity,Emerging Markets
EWQ,iShares MSCI France Index,Equity,Foreign
PBS,PowerShares Dynamic Media,Equity,US Industry
DOL,WisdomTree International LargeCap Div,Equity,Foreign
IEV,iShares S&P Europe 350 Index,Equity,Foreign
DBN,WisdomTree International Basic Materials,Equity,Global Sector
MXI,iShares S&P Global Materials,Equity,Global Sector
VGK,Vanguard European Stock Index,Equity,Foreign
RYH,Rydex S&P Equal Weight Health Care,Equity,US Sector
FEU,SPDR DJ STOXX 50,Equity,US Large Cap
DRW,WisdomTree International Real Estate,Real Estate,Foreign
DWM,WisdomTree DEFA,Equity,Foreign
MZN,Claymore/Morningstar Info Super Sector,Equity,US Sector
PCA,PowerShares Autonomic Bal NFA Glbl Asset,Diversified,Balanced
UBD,Claymore U.S. Capital Markets Bond,Bond,Total
RCD,Rydex S&P Equal Weight Consumer Disc,Equity,US Sector
JJN,iPath DJ AIG Nickel TR Sub-Idx ETN,Commodity,Metals
RPG,Rydex S&P 500 Pure Growth,Equity,US Large Cap
FXD,First Trust Consumer Disc AlphaDEX,Equity,US Sector
RZG,Rydex S&P SmallCap 600 Pure Growth,Equity,
WPS,iShares S&P Dev ex-US Property Index,Real Estate,
ADRU,BLDRS Europe 100 ADR Index,Equity,
JPP,SPDR Russell/Nomura PRIME Japan,Equity,
PIE,PowerShares DWA Em Mkts Technical Ldrs,Equity,
DOO,WisdomTree International Div ex-Finncls,Equity,
EWW,iShares MSCI Mexico Investable Mkt Idx,Equity,
DRF,WisdomTree International Financial,Equity,
IPS,SPDR S&P International Cons Stapl Sector,Equity,
SWH,Software HOLDRs,Equity,
ADRD,BLDRS Developed Markets 100 ADR Index,Equity,
FAB,First Trust Multi Cap Value AlphaDEX,Equity,
IRY,SPDR S&P International HealthCare Sector,Equity,
EDV,Vanguard Extended Dur Treas Idx Instl,Bond,
EWC,iShares MSCI Canada Index,Equity,
EWU,iShares MSCI United Kingdom Index,Equity,
PJO,PowerShares FTSE RAFI Japan,Equity,
DEB,WisdomTree Europe Total Dividend,Equity,
PJP,PowerShares Dynamic Pharmaceuticals,Equity,
FNX,First Trust Mid Cap Core AlphaDEX,Equity,
EZU,iShares MSCI EMU Index,Equity,
RPV,Rydex S&P 500 Pure Value,Equity,
VOX,Vanguard Telecom Services ETF,Equity,
ROB,Claymore/Robb Report Global Luxury,Equity,
DPC,WisdomTree International Cons Discretion,Equity,
IOO,iShares S&P Global 100 Index,Equity,
ONEQ,Fidelity Nasdaq Composite Index Tracking,Equity,
ACWI,iShares MSCI ACWI Index,Equity,
PQBW,PowerShares NASDAQ-100 BuyWrite,Absolute,
PUW,PowerShares WilderHill Progrsv Energy,Equity,
EWJ,iShares MSCI Japan Index,Equity,
VT,Vanguard Total World Stock Index ETF,Equity,
PFA,PowerShares Dynamic Developed Intl Opps,Equity,
IBB,iShares Nasdaq Biotechnology,Equity,
FXG,First Trust Consumer Staples AlphaDEX,Equity,
QQXT,First Trust NASDAQ-100 ex-Tech Sector,Equity,
FVI,First Trust Value Line Equity Allc Index,Equity,
DSG,SPDR Dow Jones Small Cap Growth,Equity,
RFV,Rydex S&P Midcap 400 Pure Value,Equity,
RHS,Rydex S&P Equal Weight Consumer Staples,Equity,
EFG,iShares MSCI EAFE Growth Index,Equity,
DSC,SPDR Dow Jones Small Cap,Equity,
PHB,PowerShares High Yield Corporate Bond,Bond,
PSI,PowerShares Dynamic Semiconductors,Equity,
FXZ,First Trust Materials AlphaDEX,Equity,
DSV,SPDR Dow Jones Small Cap Value,Equity,
FXU,First Trust Utilities AlphaDEX,Equity,
REM,iShares FTSE NAREIT Mort Plus Cp Idx,Real Estate,
PAO,PowerShares Autonmc Bal Gr NFA Glbl Asst,Diversified,
LVL,Claymore/S&P Global Dividend Opp,Equity,
IRO,Claymore/Zacks Dividend Rotation,Equity,
EMM,SPDR Dow Jones Mid Cap,Equity,
GII,SPDR FTSE/Macquarie Global Infra 100,Equity,
OTR,Claymore/Ocean Tomo Growth,Equity,
DBV,PowerShares DB G10 Currency Harvest,Absolute,
FDV,First Trust DB Strategic Value Index,Equity,
IGF,iShares S&P Global Infrastructure Index,Equity,
JKL,iShares Morningstar Small Value Index,Equity,
PKW,PowerShares Buyback Achievers,Equity,
TOK,iShares MSCI Kokusai Index,Equity,
KCE,SPDR KBW Capital Markets,Equity,
CVY,Claymore/Zacks Multi-Asset Income,Diversified,
IPU,SPDR S&P International Utilities Sector,Equity,
RSP,Rydex S&P Equal Weight,Equity,
KXI,iShares S&P Global Consumer Staples,Equity,
MOO,Market Vectors Agribusiness ETF,Commodity,
EWI,iShares MSCI Italy Index,Equity,
IGV,iShares S&P North Amer Tech-Software,Equity,
RXI,iShares S&P Global Cons Discretionary,Equity,
FRN,Claymore/BNY Mellon Frontier Markets,Equity,
RWX,SPDR Dow Jones Intl Real Estate,Equity,
PPH,Pharmaceutical HOLDRs,Equity,
PWV,PowerShares Dynamic Large Cap Value,Equity,
IXC,iShares S&P Global Energy,Equity,
VOE,Vanguard Mid-Cap Value ETF,Equity,
VCR,Vanguard Consumer Discretionary ETF,Equity,
GBB,iPath GBP/USD Exchange Rate ETN,Currency,
ITF,iShares S&P/TOPIX 150 Index,Equity,
EXB,Claymore/Clear Global Exchanges Brokers,Equity,
EMV,SPDR Dow Jones Mid Cap Value,Equity,
HAP,Market Vectors RVE Hard Assets Prod ETF,Commodity,
DEW,WisdomTree Global Equity Income,Equity,
JKI,iShares Morningstar Mid Value Index,Equity,
PEZ,PowerShares Dynamic Consumer Disc,Equity,
IXJ,iShares S&P Global Healthcare,Equity,
PTF,PowerShares Dynamic Technology,Equity,
EWG,iShares MSCI Germany Index,Equity,
XLV,Health Care Select Sector SPDR,Equity,
VHT,Vanguard Health Care ETF,Equity,
ICI,iPath Optimized Currency Carry ETN,Currency,
TDV,TDX Independence 2040 ETF,Diversified,
CRO,Claymore/Zacks Country Rotation,Equity,
IHF,iShares Dow Jones US Healthcare Provider,Equity,
IJK,iShares S&P MidCap 400 Growth Index,Equity,
DSI,iShares KLD 400 Social Index,Equity,
BOS,PowerShares DB Base Metals Short ETN,Inverse,
DBB,PowerShares DB Base Metals,Commodity,
CGW,Claymore S&P Global Water,Equity,
IYH,iShares Dow Jones US Healthcare,Equity,
PTD,E-TRACS UBS Short Platinum ETN,Commodity,
DBU,WisdomTree International Utilities,Equity,
PQY,PowerShares Active AlphaQ,Equity,
MKH,Market 2000 HOLDRs,Equity,
PQSC,PowerShares FTSE NASDAQ Small Cap,Equity,
ELG,SPDR Dow Jones Large Cap Growth,Equity,
EWN,iShares MSCI Netherlands Invstbl Mkt Idx,Equity,
IVW,iShares S&P 500 Growth Index,Equity,
XLY,Consumer Discret Select Sector SPDR,Equity,
IJH,iShares S&P MidCap 400 Index,Equity,
DGT,SPDR DJ Global Titans,Equity,
IYC,iShares Dow Jones US Consumer Services,Equity,
FTA,First Trust Large Cap Value Opp AlphaDEX,Equity,
JKJ,iShares Morningstar Small Core Index,Equity,
NYC,iShares NYSE Composite Index,Equity,
UUP,PowerShares DB US Dollar Index Bullish,Currency,
IWP,iShares Russell Midcap Growth Index,Equity,
EXT,WisdomTree Total Earnings,Equity,
IWF,iShares Russell 1000 Growth Index,Equity,
JJC,iPath DJ AIG Copper TR Sub-Idx ETN,Equity,
JXI,iShares S&P Global Utilities,Equity,
IJJ,iShares S&P MidCap 400 Value Index,Equity,
FXB,CurrencyShares British Pound Sterling Tr,Currency,
VB,Vanguard Small Cap Index,Equity,
VBK,Vanguard Small Cap Growth Index,Equity,
SDY,SPDR S&P Dividend,Equity,
EXI,iShares S&P Global Industrials,Equity,
IWZ,iShares Russell 3000 Growth Index,Equity,
JKG,iShares Morningstar Mid Core Index,Equity,
XME,SPDR S&P Metals & Mining,Commodity,
VO,Vanguard Mid Capitalization Index Ins,Equity,
RWL,RevenueShares Large Cap,Equity,
MDY,MidCap SPDRs,Equity,
BVL,ELEMENTS BG Large Cap ETN,Equity,
IIH,Internet Infrastructure HOLDRs,Equity,
FYX,First Trust Small Cap Core AlphaDEX,Equity,
BVT,ELEMENTS BG Total Market ETN,Equity,
PSL,PowerShares Dynamic Consumer Staples,Equity,
OTP,Claymore/Ocean Tomo Patent,Equity,
EPS,WisdomTree Earnings 500,Equity,
DOG,Short Dow30 ProShares,Equity,
VIG,Vanguard Dividend Appreciation ETF,Equity,
UAG,E-TRACS UBS Bloomberg CMCI Agri ETN,Commodity,
FUD,E-TRACS UBS Bloomberg CMCI Food ETN,Commodity,
KIE,SPDR KBW Insurance,Equity,
VDC,Vanguard Consumer Staples ETF,Equity,
DON,WisdomTree MidCap Dividend,Equity,
VXF,Vanguard Extended Market Idx,Equity,
FPX,First Trust US IPO Index,Equity,
PWND,PowerShares Global Wind Energy,Equity,
JKE,iShares Morningstar Large Growth Index,Equity,
FEX,First Trust Large Cap Core AlphaDEX,Equity,
RYU,Rydex S&P Equal Weight Utilities,Equity,
TDN,TDX Independence 2030 ETF,Diversified,
EZY,WisdomTree LargeCap Value,Equity,
IGE,iShares S&P North Amer Natural Resources,Equity,
TMW,SPDR Dow Jones Total Market,Equity,
XLG,Rydex Russell Top 50,Equity,
VBR,Vanguard Small Cap Value Index,Equity,
IWR,iShares Russell Midcap Index,Equity,
RTH,Retail HOLDRs,Equity,
BWV,iPath CBOE S&P 500 BuyWrite Index ETN,Absolute,
SZK,UltraShort Consumer Goods ProShares,Equity,
DIA,DIAMONDS Trust Series 1,Equity,
EWO,iShares MSCI Austria Investable Mkt Idx,Equity,
VUG,Vanguard Growth Index,Equity,
FVD,First Trust Value Line Dividend Index,Equity,
MGK,Vanguard Mega Cap 300 Gr Index ETF,Equity,
FDL,First Trust Morningstar Div Leaders Idx,Equity,
VV,Vanguard Large Cap ETF,Equity,
GWO,ELEMENTS CS Global Warming ETN,Equity,
IWB,iShares Russell 1000 Index,Equity,
VTI,Vanguard Total Stock Mkt Idx,Equity,
IYY,iShares Dow Jones U.S. Index,Equity,
SH,Short S&P500 ProShares,Equity,
JKK,iShares Morningstar Small Growth Index,Equity,
IEO,iShares Dow Jones US Oil & Gas Ex Index,Equity,
KLD,iShares KLD Select Social Index,Equity,
IWV,iShares Russell 3000 Index,Equity,
IXG,iShares S&P Global Financials,Equity,
UEM,Claymore U.S.-1-The Capital Markets Idx,Equity,
XBI,SPDR S&P Biotech,Equity,
PWP,PowerShares Dynamic Mid Cap Value,Equity,
PTO,PowerShares Autonomic Gr NFA Glbl Asset,Equity,
VTV,Vanguard Value Index,Equity,
WMH,Wireless HOLDRs,Equity,
MGC,Vanguard Mega Cap 300 Index ETF,Equity,
PID,PowerShares Intl Dividend Achievers,Equity,
VPU,Vanguard Utilities ETF,Equity,
IYZ,iShares Dow Jones US Telecom,Equity,
FDD,First Trust DJ STOXX Select Dividend 30,Equity,
VOT,Vanguard Mid-Cap Growth ETF,Equity,
PNXQ,PowerShares NXQ,Equity,
ISI,iShares S&P 1500 Index,Equity,
XLP,Consumer Staples Select Sector SPDR,Equity,
XLU,Utilities Select Sector SPDR,Equity,
FFR,First Trust FTSE EPRA/NAREIT Glb Real Es,Real Estate,
IVV,iShares S&P 500 Index,Equity,
IWO,iShares Russell 2000 Growth Index,Equity,
MGV,Vanguard Mega Cap 300 Value Index ETF,Equity,
OEF,iShares S&P 100 Index,Equity,
PBE,PowerShares Dynamic Biotech & Genome,Equity,
DEF,Claymore/Sabrient Defensive Equity,Equity,
VYM,Vanguard High Dividend Yield Indx ETF,Equity,
XLB,Materials Select Sector SPDR,Equity,
ELR,SPDR Dow Jones Large Cap,Equity,
ROM,Ultra Technology ProShares,Leveraged,
